iter	Passed	Remaining
968	29711	950
969	29742	919
970	29773	889
971	29805	858
972	29838	827
973	29864	797
974	29893	766
975	29920	735
976	29947	705
977	29986	674
978	30013	643
979	30041	613
980	30069	582
981	30105	551
982	30133	521
983	30162	490
984	30193	459
985	30220	429
986	30245	398
987	30270	367
988	30299	337
989	30341	306
990	30378	275
991	30407	245
992	30435	214
993	30461	183
994	30487	153
995	30517	122
996	30554	91
997	30588	61
998	30617	30
999	30646	0
