iter	Passed	Remaining
667	11559	5745
668	11578	5728
669	11595	5711
670	11601	5688
671	11618	5670
672	11667	5669
673	11690	5654
674	11707	5636
675	11725	5620
676	11731	5597
677	11748	5579
678	11766	5562
679	11776	5541
680	11794	5524
681	11800	5502
682	11818	5485
683	11850	5474
684	11870	5458
685	11889	5442
686	11907	5425
687	11926	5408
688	11943	5391
689	11961	5373
690	11967	5351
691	11984	5334
692	12005	5318
693	12015	5297
694	12033	5280
695	12049	5263
696	12065	5245
697	12083	5228
698	12100	5210
699	12116	5192
700	12132	5174
701	12148	5157
702	12164	5139
703	12180	5121
704	12195	5103
705	12211	5085
706	12228	5067
707	12244	5050
708	12261	5032
709	12280	5016
710	12298	4999
711	12316	4982
712	12335	4965
713	12355	4949
714	12372	4931
715	12390	4914
716	12408	4897
717	12425	4880
718	12442	4862
719	12460	4845
720	12476	4828
721	12485	4807
722	12503	4790
723	12516	4771
724	12534	4754
725	12552	4737
726	12570	4720
727	12602	4708
728	12620	4691
729	12637	4674
730	12655	4657
731	12667	4637
732	12703	4627
733	12721	4610
734	12738	4592
735	12762	4577
736	12779	4560
737	12796	4542
738	12802	4521
739	12819	4504
740	12836	4486
741	12853	4469
742	12870	4451
743	12887	4434
744	12902	4416
745	12919	4399
746	12936	4381
747	12952	4363
748	12965	4344
749	12980	4326
750	12996	4309
751	13013	4291
752	13030	4274
753	13036	4253
754	13055	4236
755	13061	4215
756	13081	4199
757	13088	4178
758	13106	4161
759	13125	4144
760	13143	4127
761	13160	4110
762	13178	4093
763	13196	4076
764	13203	4056
765	13220	4038
766	13237	4021
767	13263	4006
768	13280	3989
769	13296	3971
770	13342	3963
771	13360	3945
772	13378	3928
773	13396	3911
774	13428	3898
775	13445	3881
776	13464	3864
777	13482	3847
778	13500	3830
779	13506	3809
780	13522	3791
781	13540	3774
782	13557	3757
783	13575	3740
784	13592	3722
785	13610	3705
786	13628	3688
787	13645	3671
788	13662	3653
789	13679	3636
790	13697	3619
791	13716	3602
792	13732	3584
793	13750	3567
794	13766	3549
795	13782	3532
796	13788	3511
797	13793	3491
798	13828	3478
799	13845	3461
800	13863	3444
801	13882	3427
802	13899	3409
803	13926	3395
804	13944	3377
805	13962	3360
806	13980	3343
807	13998	3326
808	14015	3309
809	14034	3292
810	14052	3274
811	14069	3257
812	14087	3240
813	14121	3226
814	14139	3209
815	14166	3194
816	14189	3178
817	14208	3161
818	14225	3143
819	14244	3126
820	14262	3109
821	14280	3092
822	14297	3074
823	14315	3057
824	14331	3040
825	14349	3022
826	14363	3004
827	14381	2987
828	14425	2975
829	14443	2958
